STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,PARTFLG,County Name,Block Group,Tract,Longitude,Latitude,HOUSING10,POP10,Tot_Traffic1_BLK,Total_Features
37,183,53007,1003,3.71831E+14,N,Wake,3.71831E+11,37183053007,,,0,0,99300,99300
37,183,53108,2000,3.71831E+14,N,Wake,3.71831E+11,37183053108,-78.759502,35.582903,91,266,93000,93357
37,183,53111,3006,3.71831E+14,N,Wake,3.71831E+11,37183053111,,,83,193,90500,90776
37,183,53713,1009,3.71831E+14,N,Wake,3.71831E+11,37183053713,-78.696956,35.871818,175,274,90160,90609
37,183,52002,1002,3.71831E+14,N,Wake,3.71831E+11,37183052002,,,45,118,87460,87623
37,183,53201,1022,3.71831E+14,N,Wake,3.71831E+11,37183053201,,,0,0,86290,86290
37,183,53421,1052,3.71831E+14,N,Wake,3.71831E+11,37183053421,,,5,21,86260,86286
37,183,54402,2053,3.71831E+14,N,Wake,3.71831E+11,37183054402,,,0,0,84190,84190
37,183,53422,1018,3.71831E+14,N,Wake,3.71831E+11,37183053422,-78.833939,35.774055,18,54,83380,83452
37,183,53900,3023,3.71831E+14,N,Wake,3.71831E+11,37183053900,,,0,0,82940,82940
37,183,53106,1000,3.71831E+14,N,Wake,3.71831E+11,37183053106,-78.804482,35.601895,117,280,81380,81777
37,183,53524,2006,3.71831E+14,N,Wake,3.71831E+11,37183053524,-78.78328,35.788641,16,34,78350,78400
37,183,53525,2002,3.71831E+14,N,Wake,3.71831E+11,37183053525,,,0,0,78370,78370
37,183,53804,1036,3.71831E+14,N,Wake,3.71831E+11,37183053804,,,0,0,78170,78170
37,183,53207,2036,3.71831E+14,N,Wake,3.71831E+11,37183053207,,,14,55,74970,75039
37,183,53206,1004,3.71831E+14,N,Wake,3.71831E+11,37183053206,,,110,380,73410,73900
37,183,53720,3006,3.71831E+14,N,Wake,3.71831E+11,37183053720,,,7,20,70240,70267
37,183,53718,1005,3.71831E+14,N,Wake,3.71831E+11,37183053718,,,75,255,69270,69600
37,183,53415,1024,3.71831E+14,N,Wake,3.71831E+11,37183053415,,,0,0,67020,67020
37,183,53518,1003,3.71831E+14,N,Wake,3.71831E+11,37183053518,,,112,258,64250,64620
37,183,52902,2020,3.71831E+14,N,Wake,3.71831E+11,37183052902,,,6,19,64370,64395
37,183,53204,1009,3.71831E+14,N,Wake,3.71831E+11,37183053204,,,27,86,55000,55113
37,183,53605,1008,3.71831E+14,N,Wake,3.71831E+11,37183053605,,,21,70,54940,55031
37,183,53006,1008,3.71831E+14,N,Wake,3.71831E+11,37183053006,-78.757995,35.688044,0,0,52550,52550
37,183,52904,3006,3.71831E+14,N,Wake,3.71831E+11,37183052904,,,46,112,51000,51158
37,183,52809,2020,3.71831E+14,N,Wake,3.71831E+11,37183052809,,,0,0,50360,50360
37,183,52903,1005,3.71831E+14,N,Wake,3.71831E+11,37183052903,,,4,12,49900,49916
37,183,53408,2000,3.71831E+14,N,Wake,3.71831E+11,37183053408,,,141,485,48040,48666
37,183,53409,3024,3.71831E+14,N,Wake,3.71831E+11,37183053409,,,4,16,48220,48240
37,183,53417,1040,3.71831E+14,N,Wake,3.71831E+11,37183053417,,,1,1,41500,41502
37,183,53205,1054,3.71831E+14,N,Wake,3.71831E+11,37183053205,,,0,0,40440,40440
37,183,53423,1004,3.71831E+14,N,Wake,3.71831E+11,37183053423,,,111,165,39700,39976
37,183,53005,1004,3.71831E+14,N,Wake,3.71831E+11,37183053005,,,0,0,36000,36000
37,183,54109,1000,3.71831E+14,N,Wake,3.71831E+11,37183054109,-78.436888,35.740773,30,71,34850,34951
37,183,53202,1015,3.71831E+14,N,Wake,3.71831E+11,37183053202,,,7,26,32000,32033
37,183,54204,1007,3.71831E+14,N,Wake,3.71831E+11,37183054204,,,14,28,30400,30442
37,183,53719,1012,3.71831E+14,N,Wake,3.71831E+11,37183053719,,,20,78,26750,26848
37,183,53410,1048,3.71831E+14,N,Wake,3.71831E+11,37183053410,,,0,0,26620,26620
37,183,53413,2025,3.71831E+14,N,Wake,3.71831E+11,37183053413,,,39,85,21760,21884
37,183,53203,1022,3.71831E+14,N,Wake,3.71831E+11,37183053203,,,68,171,20500,20739
37,183,53414,1050,3.71831E+14,N,Wake,3.71831E+11,37183053414,,,0,0,19300,19300
37,183,54111,1010,3.71831E+14,N,Wake,3.71831E+11,37183054111,,,23,62,19210,19295
37,183,54112,1028,3.71831E+14,N,Wake,3.71831E+11,37183054112,,,45,108,18770,18923
37,183,53606,1000,3.71831E+14,N,Wake,3.71831E+11,37183053606,,,98,174,18530,18802
37,183,54205,2025,3.71831E+14,N,Wake,3.71831E+11,37183054205,,,11,23,15240,15274
37,183,53803,1012,3.71831E+14,N,Wake,3.71831E+11,37183053803,,,5,24,10230,10259
37,183,52901,1030,3.71831E+14,N,Wake,3.71831E+11,37183052901,,,62,159,7190,7411
